	UBI	PR1	PR10
PrEC_1	20.92172432	23.52446175	22.58207703
PrEC_2	20.84082413	23.35365105	22.57670212
PrEC_3	20.95493126	23.57338524	22.64507675
PrEC_4	22.36350632	24.79600143	23.85881233
PrEC_5	22.27254105	25.33698463	25.9668541
PrEC_6	22.39293289	25.83987808	23.90394592
PrEC_7	24.04274368	26.09719276	25.53013802
PrEC_8	23.96860695	26.44171333	25.48940849
PrEC_9	23.75226402	26.19921494	25.50953674
PrEC_10	24.9983902	27.98763275	26.98309135
PrEC_11	24.97133827	27.94234657	27.1806221
PrEC_12	25.08291435	27.97372627	27.07989311
PrEC_13	27.93492699	29.8439846	28.86386108
PrEC_14	27.19493103	29.6352005	29.39839935
PrEC_15	27.0915947	29.96700287	28.62731171
PrEC_16	30.77853012	33.14736176	32.97405243
PrEC_17	30.81044579	33.39616394	31.21920586
PrEC_18	34.81059647	32.95711136	32.05605698
PrEC_19	28.62918854	31.16382408	30.10909271
PrEC_20	29.01425934	31.1620121	30.23121071
PrEC_21	28.84809113	30.92301559	30.20636749
