Sample	UBI	PR10
E25	22.92921066	23.54184914
E26	22.95274162	23.22883415
E27	22.94036293	23.16107368
E28	20.62714958	20.9004364
E29	20.30340195	21.58749008
E30	20.35184669	21.9625206
E31	20.60746765	22.58120346
E32	20.76272774	22.53549004
E33	20.5961132	23.32769012
E34	21.2864933	22.45612144
E35	21.46022415	22.55942917
E36	20.66905022	23.00248718
EC37	22.84366989	22.61275673
EC38	22.37127304	22.32411766
EC39	22.55500221	22.33660889
EC40	19.71068001	19.82951736
EC41	20.19765282	19.71686745
EC42	20.45241356	20.36338806
EC43	20.83298874	21.65637398
EC44	20.89910126	21.61756325
EC45	20.71051788	21.91991043
EC46	20.94946671	21.74065018
EC47	21.33750916	22.18028259
EC48	21.70372391	22.05286598
